<START:location> Стрілковичі (49.5, 23.13333) <END>
<START:location> Дергачі (49.4, 34.51667) <END>
<START:location> Буценівка (46.7518, 30.22008) <END>
<START:location> Олександрівка (48.82324, 37.40671) <END>
<START:location> Бистриця (49.47184, 23.44525) <END>
<START:location> Тростянець (50.9599282, 25.55378) <END>
<START:location> Грязна (50.795, 35.22583) <END>
<START:location> Мощена (51.25999, 24.60551) <END>
<START:location> Чернета (49.87327, 32.81526) <END>
<START:location> Уїздці (50.45875, 26.19082) <END>
<START:location> Тендрівська Затока (46.21922, 31.97673) <END>
<START:location> Beshka (48.51037, 33.16021) <END>
<START:location> Кам'янка (48.24447, 39.38667) <END>
<START:location> Великоолександрівка (47.78333, 32.68333) <END>
<START:location> Брід (48.11312, 30.56653) <END>
<START:location> Дослідне (49.99561, 27.67112) <END>
<START:location> Єлизаветівка (48.6187, 34.64777) <END>
<START:location> Церніце (48.4, 22.3) <END>
<START:location> Новий Милятин (49.96603, 24.49256) <END>
<START:location> Березівка (50.31529, 28.4434) <END>
<START:location> Антрацит (48.11503, 39.09128) <END>
<START:location> Чижичі (49.5314, 24.23118) <END>
<START:location> Balky (49.36804, 35.57366) <END>
<START:location> Pryseimia (51.38282, 33.20401) <END>
<START:location> Студенець (51.89989, 31.45648) <END>
<START:location> Красне (46.11667, 29.26667) <END>
<START:location> Соколов (49.31032, 25.3877) <END>
<START:location> Калинівка (47.82217, 35.546) <END>
<START:location> Кам'яногірка (50.85989, 27.9012) <END>
<START:location> Іванівка (50.2468, 37.26348) <END>
<START:location> Відрадне (49.99528, 37.70611) <END>
<START:location> Вир (51.95395, 30.85603) <END>
<START:location> Геронимівка (49.45167, 31.9504) <END>
<START:location> Статуя Менгір (49.43778, -2.54861) <END>
<START:location> Stantsiia Pavlopillia (47.87108, 34.03162) <END>
<START:location> Олексіївка (48.93862, 29.39508) <END>
<START:location> Деревичка (49.9949, 27.73783) <END>
<START:location> Гостьовий будинок Мартон (49.44967, -2.54085) <END>
<START:location> Тарнавка (50.25, 25.48333) <END>
<START:location> Олексенкове (50.57316, 34.5561) <END>
<START:location> Малі Селменці (48.51314, 22.16467) <END>
<START:location> Міжнародний аеропорт Ужгород (48.63428, 22.26336) <END>
<START:location> Балка Міжгірна (45.10827, 33.88712) <END>
<START:location> La Fregondee (49.42972, -2.37) <END>
<START:location> Квіткове (46.65213, 34.37229) <END>
<START:location> Синявка (51.61082, 32.01067) <END>
<START:location> Хрун-Ташан (50.00568, 34.02267) <END>
<START:location> Білоруська Вулиця (46.37749, 30.71875) <END>
<START:location> Серово (45.32417, 34.67632) <END>
<START:location> Чабани (50.34071, 30.42356) <END>
<START:location> Дідівка (50.03943, 37.04819) <END>
<START:location> Мотійки (51.25816, 29.23705) <END>
<START:location> Надорожна (48.88312, 24.94539) <END>
<START:location> Платформа 159 кілометр (48.64377, 35.29523) <END>
<START:location> Станція Шайтарово (48.12164, 31.16198) <END>
<START:location> Восход (45.50999, 34.39355) <END>
<START:location> Попільня (49.94446, 29.46001) <END>
<START:location> Заставці (49.58728, 27.61512) <END>
<START:location> Солонівка (51.99293, 31.64851) <END>
<START:location> Озарянівка (48.45213, 37.9524) <END>
<START:location> Калне (48.84209, 23.33393) <END>
<START:location> Велика Чернявка (49.98333, 29.58333) <END>
<START:location> Колиний пост Крикливець (48.31968, 28.92878) <END>
<START:location> Берестечко (50.3505636, 25.1007738) <END>
<START:location> Prostornenskoye sel'skoye poselenye (45.65611, 34.69783) <END>
<START:location> Затока Сиваш (46.36667, 35.11667) <END>
<START:location> Золотий Колодязь (48.53013, 37.23558) <END>
<START:location> Нижня Краснопавлівка (49.13296, 36.29277) <END>
<START:location> Радехів (50.2827778, 24.6375) <END>
<START:location> Старогорожене (47.49653, 32.34161) <END>
<START:location> Бадульово Второе (47.49889, 29.71528) <END>
<START:location> Камінське (48.52676, 28.00563) <END>
<START:location> Петрикове (48.10409, 36.19871) <END>
<START:location> Новопетрівка (48.06659, 34.98616) <END>
<START:location> Чернівці <END>
<START:location> Zakubanka (50.59918, 33.62057) <END>
<START:location> Петрополь (48.55, 33.73333) <END>
<START:location> Смордва (50.47412, 25.54028) <END>
<START:location> Перемишляни (49.67053, 24.55657) <END>
<START:location> Грубна (48.45568, 27.07309) <END>
<START:location> Aninoasa (46.38917, 29.52222) <END>
<START:location> Любине (47.07941, 32.67205) <END>
<START:location> Третьяківка (49.12005, 39.58521) <END>
<START:location> Урочище Радово (51.70097, 24.64949) <END>
<START:location> Пилипенко (49.1, 28.93333) <END>
<START:location> Самотоївка (50.80761, 35.15201) <END>
<START:location> Грушівка (47.58333, 34.03333) <END>
<START:location> Шацький національний парк (51.55116, 24.01259) <END>
<START:location> Осовини (45.43323, 36.59231) <END>
<START:location> Нестеліївка (48.86198, 36.24605) <END>
<START:location> Солтанівка (47.86065, 30.1147) <END>
<START:location> Дашава (49.26479, 24.01688) <END>
<START:location> Терещенки (49.79269, 34.72328) <END>
<START:location> Ситники (50.6132, 34.73604) <END>
<START:location> Струха (48.79392, 27.32132) <END>
<START:location> Стойло (50.26667, 26.43333) <END>
<START:location> Дем'янівка (46.94395, 34.55078) <END>
<START:location> Площа Лазарєва (44.61147, 33.52012) <END>
<START:location> Хребет Верхній Діл (48.44825, 23.14283) <END>
<START:location> Синя Коса (46.0275, 33.02808) <END>
<START:location> Le Dehus (49.49667, -2.50833) <END>
<START:location> Tarasy (51.26396, 29.29462) <END>
<START:location> Хлистунівка (49.21154, 31.44699) <END>
<START:location> Шевченкове (50.55901, 34.25427) <END>
<START:location> Джемільне (49.31759, 38.59006) <END>
<START:location> Tury (49.47564, 34.11238) <END>
<START:location> Нове Поріччя (49.23589, 26.60315) <END>
<START:location> Урочище Парахонське (52.0928, 33.46285) <END>
<START:location> Виноград (48.74183, 24.76752) <END>
<START:location> Балка Аловай (47.96562, 39.69373) <END>
<START:location> Дерманка (50.79232, 27.15332) <END>
<START:location> Жужель (50.96667, 27.66667) <END>
<START:location> Сальник (49.40638, 28.55149) <END>
<START:location> Шевченківське (47.92611, 36.06764) <END>
<START:location> Отаман (46.53333, 33.71667) <END>
<START:location> Вулиця Карла Маркса (46.32723, 30.62477) <END>
<START:location> Рибаче (44.77331, 34.59609) <END>
<START:location> Долина (51.84542, 24.35823) <END>
<START:location> Паньківка (48.43705, 37.3311) <END>
<START:location> Головенка (50.15626, 28.54818) <END>
<START:location> Петрово-Долина (48.03333, 33.91667) <END>
<START:location> Вулиця Світанкова (50.77805, 29.27765) <END>
<START:location> Урочище Логи (52.01633, 32.9029) <END>
<START:location> Барилівщина (49.73363, 33.50648) <END>
<START:location> Максимівщина (50.04782, 32.66369) <END>
<START:location> Острів Британія (46.77341, 33.2629) <END>
<START:location> Переволочна (50.06064, 24.79335) <END>
<START:location> Червоний Захід (47.96667, 32.06667) <END>
<START:location> Островчани (48.59972, 26.57094) <END>
<START:location> Dymer (50.78647, 30.3026) <END>
<START:location> Хатилова Гута (51.30564, 30.6937) <END>
<START:location> Нова Буда (50.66619, 28.96961) <END>
<START:location> Нова Пісочна (49.09981, 26.64462) <END>
<START:location> Майванівка (49.44943, 33.67146) <END>
<START:location> Жабоч (50.66144, 29.09091) <END>
<START:location> Goduv (49.61667, 25.01667) <END>
<START:location> Рівненська область (51, 26.5) <END>
<START:location> Рівне (47.71582, 36.03619) <END>
<START:location> Вольний (49.12427, 36.71697) <END>
<START:location> Сосолювка (48.91788, 25.83475) <END>
<START:location> Садове (46.23125, 30.2137) <END>
<START:location> Архемівка (50.21905, 32.22997) <END>
<START:location> Le Catillion (49.44167, -2.65) <END>
<START:location> Семихатки (46.21667, 34.01667) <END>
<START:location> Забужжя (49.5, 28.21667) <END>
<START:location> Славнівка (49.22116, 34.0433) <END>
<START:location> Нікольський (49.4, 39.21667) <END>
<START:location> Адамі (50.03333, 24.7) <END>
<START:location> Угорники (48.91936, 24.761) <END>
<START:location> Гаркавець (50.15331, 35.0812) <END>
<START:location> Новопсков (49.544731, 39.103889) <END>
<START:location> Весела Дача (47.58729, 33.44259) <END>
<START:location> Пантеліївка (48.49247, 39.72333) <END>
<START:location> Novosëlki-Bol’shiye (49.75643, 22.97961) <END>
<START:location> Випасне (46.19092, 30.25615) <END>
<START:location> Воскресенці (48.5081, 25.07063) <END>
<START:location> Гречкін (47.54444, 38.24861) <END>
<START:location> Гаївське (48.03593, 30.98673) <END>
<START:location> Жовтневий (48.27517, 38.09743) <END>
<START:location> Розанівка (47.78694, 32.37965) <END>
<START:location> Олексине (50.52201, 34.93789) <END>
<START:location> Веселе (48.23819, 37.43759) <END>
<START:location> Іванці (49.8962, 33.09657) <END>
<START:location> Pechënki (51.48333, 26.08333) <END>
<START:location> Станція Заріччя-Сільце (48.2886, 22.99584) <END>
<START:location> Kleven (51.4, 33.58333) <END>
<START:location> Братолюбівка (48.93268, 36.43955) <END>
<START:location> Петропавлівка (47.84919, 33.98693) <END>
<START:location> Новоселовське (45.44276, 33.59795) <END>
<START:location> Світле (48.45052, 28.07074) <END>
<START:location> Соснівка (49.06667, 34.2) <END>
<START:location> Новий Ставок (47.8, 31.41667) <END>
<START:location> Вулиця Лесі Українки (49.46528, 27.02538) <END>
<START:location> Златопіль (47.74164, 32.22492) <END>
<START:location> Поповка (49.6, 28.4) <END>
<START:location> Нижній Мінченок (48.84645, 39.46346) <END>
<START:location> Колхоз імені Молотова (47.46111, 29.64722) <END>
<START:location> 1-й провулок Павла Чубинського (50.77051, 29.27887) <END>
<START:location> Колхоз імені Ковальова (47.80889, 29.3425) <END>
<START:location> Лавринівці (49.93777, 26.99672) <END>
<START:location> Дрижина Гребля (49.28792, 34.14274) <END>
<START:location> Гусиний (48.51194, 38.26917) <END>
<START:location> Новожиловка (45.1596, 34.2327) <END>
<START:location> Ломакине (47.17019, 37.71518) <END>
<START:location> Yarok (48.64291, 22.43786) <END>
<START:location> Дачне (44.88448, 34.98333) <END>
<START:location> Барилів (50.34577, 24.86756) <END>
<START:location> Качан (50.71667, 26.78333) <END>
<START:location> Полонне (50.14026, 27.48808) <END>
<START:location> Zakaznyk Zamhlai (51.84876, 31.20557) <END>
<START:location> Протопопівка (49.2429, 36.91416) <END>
<START:location> Старий поселок (46.64778, 36.75944) <END>
<START:location> Судилків (50.17996, 27.13291) <END>
<START:location> Рибалки (49.18469, 33.99289) <END>
<START:location> Олексіївка (50.71778, 34.23167) <END>
<START:location> Криниці (52.07797, 32.9139) <END>
<START:location> Ліщинівка (49.19784, 34.22683) <END>
<START:location> Дев'ятибратове (50.21722, 35.31833) <END>
<START:location> Хутор Чихуна (46.88333, 32.61667) <END>
<START:location> Красносілка (51.17347, 28.28226) <END>
<START:location> Харченків (50.16917, 37.04139) <END>
<START:location> Raky (51.26941, 33.25899) <END>
<START:location> Дубовик (50.60891, 29.01591) <END>
<START:location> Іванівка (49.92472, 37.59) <END>
<START:location> Пашена-Балка (48.33913, 34.77861) <END>
<START:location> Урочище Паструвка (51.84129, 25.03873) <END>
<START:location> Stantsia Imeni Tarasa Shevchenko (49.20255, 31.89782) <END>
<START:location> Esman’ (51.80556, 34.09583) <END>
<START:location> Войково (47.80064, 33.30557) <END>
<START:location> Новоіванківці (48.22235, 26.48643) <END>
<START:location> Black Rock (49.48222, -2.50833) <END>
<START:location> Дарницький район (50.43333, 30.51667) <END>
<START:location> Тернова Балка (48.29465, 32.25134) <END>
<START:location> Akmechetski Stavki (47.65687, 31.21163) <END>
<START:location> Зупиночний Пункт 1168 км (47.79384, 37.56458) <END>
<START:location> Hora Taubashi (44.98155, 34.88587) <END>
<START:location> Наніково (45.0004, 35.22136) <END>
<START:location> Заповідник Шипот (48.77578, 22.85329) <END>
<START:location> Мартиній Пивострів (46.05428, 34.16222) <END>
<START:location> Козорізи (49.97624, 32.32725) <END>
<START:location> Озеро Обалоньє (52.13241, 33.30636) <END>
<START:location> Васильєвка (47.08333, 34.4) <END>
<START:location> Гора Хаборянська Гига (48.25618, 24.72367) <END>
<START:location> Сухівці (50.65778, 25.86284) <END>
<START:location> Орлов (49.08156, 38.72676) <END>
<START:location> Церква Святої Анни (49.71528, -2.205) <END>
<START:location> Чалищівка (51.1688, 33.73722) <END>
<START:location> Іллічівський район (46.46667, 30.73333) <END>
<START:location> Станція Репки (50.07294, 35.76576) <END>
<START:location> Перепростиня (49.19047, 23.33656) <END>
<START:location> Червона Слобода (50.74055, 33.96205) <END>
<START:location> Качкарівка (47.27381, 34.59088) <END>
<START:location> Букачі (50.6083, 28.98286) <END>
<START:location> Сєвєродонецька міськрада (48.90135, 38.56434) <END>
<START:location> Рукомиш (49.09829, 25.37994) <END>
<START:location> Новомиколаївка (46.96498, 30.81946) <END>
<START:location> Малинівка (48.33671, 37.42921) <END>
<START:location> Алексєєво-Орловка (48.06667, 38.41667) <END>
<START:location> Миколаївка (48.8464, 36.08365) <END>
<START:location> Мукане (50.23688, 24.74234) <END>
<START:location> Балка Величков Яр (49.89396, 37.11916) <END>
<START:location> Шаулиха (48.99035, 30.58345) <END>
<START:location> Суховоля (50.67945, 27.29225) <END>
<START:location> Тетерів (51.03366, 30.29628) <END>
<START:location> Балико-Щучинка (49.95081, 31.14174) <END>
<START:location> Качанівка (50.8415, 32.66407) <END>
<START:location> Березка (51.65, 25.48333) <END>
<START:location> Білогорілка (50.51784, 33.25473) <END>
<START:location> Амурське (45.27822, 34.12823) <END>
<START:location> Тимки (49.97752, 32.5461) <END>
<START:location> Виноградівка (47.30073, 35.39854) <END>
<START:location> Уди (50.39082, 36.05548) <END>
<START:location> Тиранівка (49.49844, 27.08858) <END>
<START:location> Listvenskoye sel'skoye poselenye (45.47993, 34.8107) <END>
<START:location> Нападівка (49.27553, 29.13312) <END>
<START:location> Forois (47.53265, 36.77522) <END>
<START:location> Ясен (51.16623, 29.43851) <END>
<START:location> Довгалевка (47.56667, 34.45) <END>
<START:location> Храм Ікони Божої Матері Спорудниця Грешних (46.57716, 30.79837) <END>
<START:location> Балка Харченкова (50.12534, 36.19501) <END>
<START:location> Долішнє (49.47823, 24.20889) <END>
<START:location> Susk (50.77827, 26.12847) <END>
<START:location> Паланка (48.73083, 30.10174) <END>
<START:location> Бірочок Другий (49.70637, 36.12824) <END>
<START:location> Олексіївський (50.84333, 34.4875) <END>
<START:location> Став Сатурн (51.67023, 27.06899) <END>
<START:location> Radisson Blu Podil (50.46385, 30.5207) <END>
<START:location> Дорошков (49.75, 38.84917) <END>
<START:location> Меморіал Бабин Яр (50.47115, 30.44919) <END>
<START:location> La Roche Pendante (49.71472, -2.17583) <END>
<START:location> Подолянці (50.01667, 28.1) <END>
<START:location> Парська (51.80023, 26.01019) <END>
<START:location> Шмирки (49.65169, 26.60376) <END>
<START:location> Горобівка (51.08389, 34.3637) <END>
<START:location> Vesëlaya Dolina (46.7, 34.15) <END>
<START:location> Гора Велике Городище (48.75968, 23.67029) <END>
<START:location> Роїще (51.64919, 31.26628) <END>
<START:location> Великі Будки (50.88035, 34.03631) <END>
<START:location> Іванове (46.67688, 30.88484) <END>
<START:location> Татаровка (48.38333, 29.18333) <END>
<START:location> Ясенівка (50.5699, 28.18965) <END>
<START:location> Рождественське (51.47058, 32.9247) <END>
<START:location> Стрілиця (50.24833, 35.25917) <END>
<START:location> Форт Саумарез (49.4575, -2.65583) <END>
<START:location> Овідіопольська Дорога (46.44256, 30.62519) <END>
<START:location> Старопетрівське (48.22259, 38.14962) <END>
<START:location> Рудня (52.18298, 33.62471) <END>
<START:location> Хорошів (50.59484, 28.44489) <END>
<START:location> Лугове (51.66819, 26.72168) <END>
<START:location> Сергіївка (50.71773, 26.30174) <END>
<START:location> Грабівка (50.65958, 28.44434) <END>
<START:location> Славка (48.75141, 23.0919) <END>
<START:location> Дуванка (49.53513, 37.42422) <END>
<START:location> Зелене (46.13181, 30.05264) <END>
<START:location> Порт Гернсі (49.45836, -2.53015) <END>
<START:location> Водянолипове (49.54509, 39.86491) <END>
<START:location> Петрівка-Роменська (50.37056, 33.74899) <END>
<START:location> Озеро Піщане (48.98672, 38.39227) <END>
<START:location> Миколаївка (49.02872, 34.31212) <END>
<START:location> Григорівка (48.54641, 32.98119) <END>
<START:location> Коккозка (44.57858, 33.93617) <END>
<START:location> Дев'яно П'ятий Квартал (47.9113, 33.39396) <END>
<START:location> Refdepo (46.75393, 33.44228) <END>
<START:location> Дубівка (51.42373, 26.22811) <END>
<START:location> Білики (49.99062, 33.67354) <END>
<START:location> Борщівка (50.86372, 26.54045) <END>
<START:location> Les Laches (49.42806, -2.34361) <END>
<START:location> Філева Плотва (49.12765, 38.58944) <END>
<START:location> Ново-Петровка (49.29139, 36.22222) <END>
<START:location> Кринична (50.27799, 34.80163) <END>
<START:location> Панівці (48.58219, 26.31267) <END>
<START:location> Ричагів (49.557, 23.86021) <END>
<START:location> Юхимівці (49.50319, 26.63203) <END>
<START:location> Степанівка (47.23333, 37.28333) <END>
<START:location> Червоне (49.51487, 35.5544) <END>
<START:location> Озерці (50.56166, 24.78353) <END>
<START:location> Миколаївський міський район (46.97626, 31.99296) <END>
<START:location> Іванівка (48.72479, 34.57706) <END>
<START:location> Ново-Володимирівський (47.86667, 35.43333) <END>
<START:location> Балка Крута (46.95504, 36.733) <END>
<START:location> Hirky (48.21048, 35.51001) <END>
<START:location> Запаро-Марівка (48.80029, 37.04637) <END>
<START:location> Vrata Siona Messianskaya Sinagoga (46.48265, 30.74195) <END>
<START:location> Подільське (49.74445, 31.97057) <END>
<START:location> Мартинівка (49.77421, 33.00769) <END>
<START:location> Різникове (50.31078, 37.42076) <END>
<START:location> Надежда-Слов'янка (47.92122, 36.08549) <END>
<START:location> Грабинівка (49.59284, 34.68243) <END>
<START:location> Запсілля (49.5586, 33.78521) <END>
<START:location> Катеринівка (48.81667, 34.36667) <END>
<START:location> Липка (51.23969, 33.22807) <END>
<START:location> Новоніколаїв (49.99583, 37.66056) <END>
<START:location> Ватутіне (49.0166667, 31.0666667) <END>
<START:location> Війниця (50.79116, 24.67598) <END>
<START:location> Pleska (48.13333, 23.15) <END>
<START:location> Статистика (50.06167, 35.60389) <END>
<START:location> Гора Полонинка- Гора (48.23435, 23.80669) <END>
<START:location> Петровеньки (48.64496, 38.78902) <END>
<START:location> Берті (49.14505, 34.64626) <END>
<START:location> Свірж (52.01014, 33.41058) <END>
<START:location> Чигринівка (48.28021, 33.69225) <END>
<START:location> Ружки (50.0684, 28.6209) <END>
<START:location> Середнє (49.76311, 33.2369) <END>
<START:location> Суховоля (49.82426, 23.8377) <END>
<START:location> Урочище Стрілка (46.14478, 34.31156) <END>
<START:location> Невський (46.29756, 35.09279) <END>
<START:location> Бесядка (51.31667, 27.08333) <END>
<START:location> Новоселівка (45.95191, 29.23505) <END>
<START:location> Привол'є (49.1075, 36.34694) <END>
<START:location> Пішкове (51.29799, 33.91828) <END>
<START:location> Київка (45.22184, 33.87124) <END>
<START:location> Підпилип'я (48.76071, 26.24046) <END>
<START:location> Дуба (48.96099, 24.17405) <END>
<START:location> Козацька вулиця (50.71532, 28.85069) <END>
<START:location> Мис Комиш-Бурун (45.23739, 36.42121) <END>
<START:location> Кандаурове (48.64963, 32.26051) <END>
<START:location> Привітне (48.66625, 39.30876) <END>
<START:location> Дудин (49.94316, 25.40966) <END>
<START:location> Ганнівка (48.24245, 33.46367) <END>
<START:location> Вироби (50.57785, 28.02492) <END>
<START:location> Ігнатівка (50.98514, 29.21061) <END>
<START:location> Форт ЛеМаршан (49.50861, -2.51861) <END>
<START:location> Обортів (50.33443, 24.49486) <END>
<START:location> Бутова Долина (49.80878, 33.68557) <END>
<START:location> Подоляки (51.54892, 32.81907) <END>
<START:location> Дніпровський район (50.46756, 30.63194) <END>
<START:location> Кам'янка (47.86667, 32.2) <END>
<START:location> Вулиця Дружби (50.97305, 29.34378) <END>
<START:location> Taiky (50.80276, 27.66171) <END>
<START:location> Le Planel (49.42778, -2.63222) <END>
<START:location> Немовичі (51.26302, 26.63286) <END>
<START:location> Тростяниця (50.80061, 28.96344) <END>
<START:location> Загальці (50.65, 29.8) <END>
<START:location> Вершина-Згарська (49.84065, 32.2033) <END>
<START:location> Бабинці (50.63314, 30.02391) <END>
<START:location> 105 км (50.79968, 29.23194) <END>
<START:location> Українка (49.12094, 36.68472) <END>
<START:location> Луга-Свинорійка (50.73696, 24.3904) <END>
<START:location> Тошківка (48.82331, 38.56451) <END>
<START:location> Горохоліна (48.86157, 24.68016) <END>
<START:location> Токмацька Міська Рада (47.25264, 35.7061) <END>
<START:location> Іскрівка (48.19409, 33.38463) <END>
<START:location> Павлівка (47.75652, 37.21775) <END>
<START:location> Камишинка (44.89453, 33.94975) <END>
<START:location> Бараничеве (49.7463, 38.12186) <END>
<START:location> Зелений Мис (51.07913, 30.34748) <END>
<START:location> Бухта Мисова (45.44036, 35.82133) <END>
<START:location> Ново-Володимирівка (47.8, 33.56667) <END>
<START:location> Ферсманово (44.89056, 34.19361) <END>
<START:location> Нехвороща (50.74627, 24.50287) <END>
<START:location> Братське (47.86664, 31.57525) <END>
<START:location> Бубни (50.2771, 32.77664) <END>
<START:location> Островець (48.64493, 25.29553) <END>
<START:location> Reikartz Medeivale (49.84356, 24.03189) <END>
<START:location> Ploske (48.77275, 33.75559) <END>
<START:location> Завадівка (49.14171, 25.04765) <END>
<START:location> Гора Гошів (49.02245, 23.84696) <END>
<START:location> Гостинцово (49.79794, 23.19884) <END>
<START:location> Розїзд Галаганівка (46.95929, 32.75468) <END>
<START:location> Борщів (50.29463, 31.36976) <END>
<START:location> Лісопитомник (47.94168, 33.56437) <END>
<START:location> Вербка (49.38779, 27.74588) <END>
<START:location> Siltse (49.25698, 25.14877) <END>
<START:location> Красноярське (49.20683, 37.82843) <END>
<START:location> Насташка (49.65191, 30.32853) <END>
<START:location> Hostel Really Central (50.44582, 30.51706) <END>
<START:location> Старий Олексинець (49.83932, 25.55571) <END>
<START:location> Боромля (50.61839, 34.97042) <END>
<START:location> Жидачівський район (49.33333, 24.08333) <END>
<START:location> Олександропіль (48.59799, 36.55144) <END>
<START:location> Фессалія (47.63333, 37.05) <END>
<START:location> Камплиця (49.6658, 36.40887) <END>
<START:location> Слот (52.07475, 32.26863) <END>
<START:location> Путь Леніна (48.08944, 38.53583) <END>
<START:location> Куянівка (51.06877, 34.19) <END>
<START:location> Бунякине (51.3625, 34.23066) <END>
<START:location> Білогір'я (47.52483, 35.99785) <END>
<START:location> Кряжове (47.73709, 33.45561) <END>
<START:location> Молодіжне (48.17537, 32.65561) <END>
<START:location> Орлівка (51.31947, 26.58366) <END>
<START:location> Старий Тараж (49.8, 25.58333) <END>
<START:location> Майдан (48.85142, 37.24537) <END>
<START:location> Бекарщина (50.72835, 31.86727) <END>
<START:location> Імені Фрунзе Колгосп (47.47222, 29.80083) <END>
<START:location> Надинівка (51.21479, 31.06486) <END>
<START:location> Новокам'янка (47.57719, 34.74267) <END>
<START:location> Бохни (49.37489, 27.70206) <END>
<START:location> Татарка (48.52566, 35.23225) <END>
<START:location> Велике (50.61163, 25.30474) <END>
<START:location> Покровський район (47.99813, 33.44128) <END>
<START:location> Гора Тарош (48.59448, 23.06454) <END>
<START:location> Миролюбне (49.65763, 27.19874) <END>
<START:location> Слишківці (48.45585, 27.9137) <END>
<START:location> Stantsiia Pelahiivskyi (48.09153, 38.59359) <END>
<START:location> Варварівка (48.70491, 35.98526) <END>
<START:location> Семихатки (46.58294, 35.05153) <END>
<START:location> Курортне (44.99522, 34.3635) <END>
<START:location> Розважів (50.92549, 29.65111) <END>
<START:location> Приозерне (46.63739, 32.46455) <END>
<START:location> Писарщина (50.04792, 32.36823) <END>
<START:location> Рованці (50.7291, 25.34611) <END>
<START:location> Витхла (49.68206, 28.17844) <END>
<START:location> Остановочный Пункт Узруй (52.11701, 32.99164) <END>
<START:location> Stakhanovskoye sel'skoye poselenye (45.3712, 33.94981) <END>
<START:location> Будинок Відпочинку Ізумруд (44.40669, 33.72126) <END>
<START:location> Тягинка (46.78118, 33.05749) <END>
<START:location> Штурмове (44.56767, 33.62245) <END>
<START:location> Білики (49.25147, 34.2706) <END>
<START:location> Червона Нива (49.00755, 36.66912) <END>
<START:location> Гужвинське (49.73495, 36.03523) <END>
<START:location> Русовичі (50.7177, 24.1377) <END>
<START:location> Житомирська міська об'єднана територіальна громада (50.24966, 28.67158) <END>
<START:location> Ripen (47.98178, 25.10897) <END>
<START:location> Молодова (50.03745, 36.77423) <END>
<START:location> Саранчова Долина (50.25659, 33.92203) <END>
<START:location> Новий Виселок (49.30694, 33.42749) <END>
<START:location> Шумське (50.65544, 33.36018) <END>
<START:location> Вулиця Медова (51.02661, 29.41366) <END>
<START:location> Новгород-Сіверський вокзал (51.99354, 33.25562) <END>
<START:location> Годовичі (51.20741, 24.4256) <END>
<START:location> Свєжковце (48.87891, 25.48037) <END>
<START:location> Вулиця Пиріжківська (50.77808, 29.23256) <END>
<START:location> Глуховичі (49.76521, 24.24628) <END>
<START:location> Іванпут (52.13169, 32.70163) <END>
<START:location> Липкуватівка (49.71956, 35.9926) <END>
<START:location> Вулиця Карла Маркса (46.34654, 30.57802) <END>
<START:location> Чаплинці (49.59646, 33.33217) <END>
<START:location> Лободівщина (50.73861, 34.55921) <END>
<START:location> Відрадне (50.83472, 31.74551) <END>
<START:location> Заріччя (49.51756, 22.78936) <END>
<START:location> Манжосівка (50.61106, 32.4575) <END>
<START:location> Новомиколаївка (48.18925, 36.92631) <END>
<START:location> Бухта Лебяжья (44.57354, 33.42692) <END>
<START:location> Локниця (51.49446, 25.25978) <END>
<START:location> Калинівка (48.61038, 37.85974) <END>
<START:location> Natalyn (50.48925, 25.0698) <END>
<START:location> Каховка (46.817388, 33.494325) <END>
<START:location> Тщенець (49.78828, 23.07991) <END>
<START:location> Ярославка (49.79697, 29.16256) <END>
<START:location> Сухая Гребля (47.4806, 30.40349) <END>
<START:location> Ігнаткове (48.44266, 28.47494) <END>
<START:location> Шумейків (51.12333, 32.86333) <END>
<START:location> Ptyche (48.1658, 37.45413) <END>
<START:location> Посухів (48.75819, 27.56228) <END>
<START:location> Хопнів (50.97576, 25.50751) <END>
<START:location> Монастирець (48.2943, 23.42694) <END>
<START:location> Водоток (48.48571, 39.69954) <END>
<START:location> Huta Zielona (50.23333, 23.56667) <END>
<START:location> Мшанець (49.75875, 25.46887) <END>
<START:location> Новеселівка (50.56222, 34.57583) <END>
<START:location> Імстичово (48.29577, 23.19458) <END>
<START:location> Зеленодольськ (47.55353, 33.65648) <END>
<START:location> Залуг (50.14, 34.23917) <END>
<START:location> Хребет Кам'янистий (45.26107, 36.05597) <END>
<START:location> Городище (51.59135, 31.98429) <END>
<START:location> Деменці (49.21344, 32.26413) <END>
<START:location> Біла Криниця (47.34934, 33.19722) <END>
<START:location> Южне (50.88243, 32.72528) <END>
<START:location> Старе Давидково (48.4559, 22.63424) <END>
<START:location> Національний парк Гомільшанські ліси (49.57589, 36.3079) <END>
<START:location> Безсалівка (51.26498, 34.39261) <END>
<START:location> Полянецьке (48.07338, 30.12205) <END>
<START:location> Григорівка (49.72503, 27.17845) <END>
<START:location> Чижки (49.62937, 22.95788) <END>
<START:location> Десятина (50.58288, 24.95355) <END>
<START:location> Софіївка (49.62816, 38.03326) <END>
<START:location> Переселення (49.88951, 30.79335) <END>
<START:location> Зубровка (50.36667, 28.98333) <END>
<START:location> Замостя (50.90356, 34.83451) <END>
<START:location> Kostochkovskoye sel'skoye poselenye (45.3151, 34.67517) <END>
<START:location> Ridny Kraj (50.16398, 35.9167) <END>
<START:location> Lisne (50.19086, 27.45272) <END>
<START:location> Байрак (50.15197, 36.7246) <END>
<START:location> Яструбине (51.14292, 34.63667) <END>
<START:location> Гапонівка (50.67873, 35.1164) <END>
