<START:location> Strilkovychi (49.5, 23.13333) <END>
<START:location> Kizia (50.25116, 25.16132) <END>
<START:location> Zboriv (50.63697, 25.59254) <END>
<START:location> Ivanivka (47.1879, 29.9572) <END>
<START:location> Stryhantsi (49.30794, 23.99292) <END>
<START:location> Doroshuv Malyy (49.94758, 24.07298) <END>
<START:location> Greguar Apartments (50.42927, 30.51642) <END>
<START:location> Subotiv (49.18635, 24.57698) <END>
<START:location> Novopokrovka (49.75571, 38.76673) <END>
<START:location> Zakaznyy (50.34035, 37.07448) <END>
<START:location> Dubovaya (48.13389, 39.61667) <END>
<START:location> Dumantsi (49.27843, 32.23082) <END>
<START:location> Popudnia (48.91352, 29.87905) <END>
<START:location> Kantemir Nou (46.46847, 29.13132) <END>
<START:location> Balka Kalinin Yar (50.42522, 36.03189) <END>
<START:location> Piskivka (50.73625, 34.65253) <END>
<START:location> Прилуки (50.594181, 32.38689) <END>
<START:location> Urochishche Zaychenskoye (45.16049, 35.98173) <END>
<START:location> Hnylyi (48.13122, 23.69101) <END>
<START:location> Tataryniv (49.56956, 23.75043) <END>
<START:location> Zaporozhskiy (47.78333, 35.36667) <END>
<START:location> Horby (48.40455, 28.76309) <END>
<START:location> Tereshchenky (51.01975, 34.19439) <END>
<START:location> Semënovka (49.66667, 34.6) <END>
<START:location> Rotok (49.78707, 30.15227) <END>
<START:location> Donskyi (48.61512, 37.4947) <END>
<START:location> Pechenaya (48.28333, 31.85) <END>
<START:location> Ivanovka (48.85, 34.9) <END>
<START:location> Velyka Hremiacha (50.13327, 33.61205) <END>
<START:location> Petrivka (46.94255, 30.02977) <END>
<START:location> Pavlivske (47.94338, 35.46327) <END>
<START:location> Pshevozy (49.08333, 24.78333) <END>
<START:location> Orynyn (48.76119, 26.39375) <END>
<START:location> Le Catioroc (49.45778, -2.64111) <END>
<START:location> Shumy (48.38108, 37.9319) <END>
<START:location> Bokovaya (48.00474, 33.12691) <END>
<START:location> Yar Dubinin (49.59417, 38.2925) <END>
<START:location> Baksha (48.00944, 29.9774) <END>
<START:location> Staryi Bobryk (50.67559, 28.60096) <END>
<START:location> Vydolots (50.27495, 27.65745) <END>
<START:location> Ulyanovka (45.00144, 34.65478) <END>
<START:location> Nove Davydkovo (48.44079, 22.6229) <END>
<START:location> Harasymivka (47.88297, 36.1743) <END>
<START:location> Bubnovskaya Slobodka (49.70262, 31.71032) <END>
<START:location> Hertsa (48.14752, 26.26186) <END>
<START:location> Virivka (50.19403, 37.20321) <END>
<START:location> Vlodzimirtse (49.23333, 24.25) <END>
<START:location> Verbivka (49.77856, 29.43826) <END>
<START:location> Muravin (51.8, 26.1) <END>
<START:location> Novooleksandrivka (46.26864, 33.41301) <END>
<START:location> Stavky (50.65842, 26.14072) <END>
<START:location> Ret’ (51.67792, 33.16328) <END>
<START:location> Popivka (49.78223, 33.35589) <END>
<START:location> Zakrynychchia (50.40446, 27.28289) <END>
<START:location> Ternivka (50.47615, 27.48032) <END>
<START:location> Skelia Sova (47.05439, 36.96994) <END>
<START:location> Dubrova (49.30312, 23.61797) <END>
<START:location> Hnyla (49.12781, 26.19538) <END>
<START:location> Zelenyi Pod (46.93836, 33.88729) <END>
<START:location> Lonivka (50.95457, 27.94545) <END>
<START:location> Корюківка (51.7754831, 32.2595792) <END>
<START:location> Velyka Chernihivka (48.96169, 39.41999) <END>
<START:location> Pereselentsi (47.48378, 30.66703) <END>
<START:location> Panorama Lviv Hotel (49.8436, 24.0255) <END>
<START:location> Nalyvna Vulytsia (46.5114, 30.71788) <END>
<START:location> Smiach (52.13495, 33.19951) <END>
<START:location> Preobrazhenka (47.1342, 29.95295) <END>
<START:location> Ivashchenkove (51.80311, 33.84117) <END>
<START:location> Verhulivka (48.37815, 38.47609) <END>
<START:location> Aleksandrovka (49.58167, 36.74944) <END>
<START:location> Vesele (47.17176, 37.89925) <END>
<START:location> Saly (50.63256, 28.75404) <END>
<START:location> Oktavyn (50.7577, 24.26854) <END>
<START:location> Antonyuky (47.44214, 30.70879) <END>
<START:location> Blahovishchenka (47.46391, 34.82092) <END>
<START:location> Romanivka (50.24469, 29.36973) <END>
<START:location> Morochna (51.67003, 26.20489) <END>
<START:location> Unknown River (Romanova) (47.93935, 31.04279) <END>
<START:location> Ozero Sviate (51.09635, 24.34084) <END>
<START:location> Kanava Prudnyk (50.89352, 25.35196) <END>
<START:location> Baleine Bay (49.41806, -2.3575) <END>
<START:location> Promin’ (49.33333, 37.93333) <END>
<START:location> Zabiria (50.2736, 23.72634) <END>
<START:location> Bachyna (49.45753, 23.03148) <END>
<START:location> Senok (49.51063, 37.64473) <END>
<START:location> Kankrynivka (47.65344, 35.24936) <END>
<START:location> Ptycha (50.3, 25.61667) <END>
<START:location> Opaka (49.28543, 23.28928) <END>
<START:location> Fëdorovka (50.02128, 35.50004) <END>
<START:location> Dniprovske (51.35233, 30.68491) <END>
<START:location> Kashtany (44.8676, 33.78995) <END>
<START:location> Kushtanovytsia (48.44864, 22.78481) <END>
<START:location> Les Jumelles (49.48944, -2.49944) <END>
<START:location> Borkut (48.10852, 23.3345) <END>
<START:location> Shchotki (49.85, 23.23333) <END>
<START:location> Mala Popivka (49.76215, 33.35216) <END>
<START:location> Kamianka (47.53608, 33.15589) <END>
<START:location> Bol’she-Vasyukovskiy (47.95, 36.65) <END>
<START:location> Tsuman (50.83219, 25.88635) <END>
<START:location> Ternivka (48.503, 36.05029) <END>
<START:location> Petrivka (47.88391, 30.77301) <END>
<START:location> Horianshchyna (49.91125, 34.45642) <END>
<START:location> Nova Dibrova (50.93054, 29.25461) <END>
<START:location> Kurylivka (49.65857, 37.66954) <END>
<START:location> Tokarevskiy Khutor (46.81667, 32.95) <END>
<START:location> Hora Suhut-Obat (44.94799, 34.85049) <END>
<START:location> Pannivka (47.19582, 37.24677) <END>
<START:location> Khomivka (49.50375, 38.1504) <END>
<START:location> Myrne (51.48291, 33.39071) <END>
<START:location> Revy (50.83083, 34.09574) <END>
<START:location> Zoria (48.42404, 33.7417) <END>
<START:location> Vivcharne (48.05223, 35.5648) <END>
<START:location> Yasna Zirka (50.85562, 31.6348) <END>
<START:location> Borova (49.7962, 36.313) <END>
<START:location> Oleksandrivka (48.24058, 36.64857) <END>
<START:location> Khram Svyatitelya Spiridona Trimifuntskogo (46.39695, 30.72456) <END>
<START:location> Nortsivka (49.31101, 37.04854) <END>
<START:location> Gorbanovka (49.3, 32.98333) <END>
<START:location> Zholtyye Zori (49.09758, 36.09074) <END>
<START:location> Polivtsi (50.68548, 26.60204) <END>
<START:location> Fontanka (46.57016, 30.85469) <END>
<START:location> Osty (51.3, 26.48333) <END>
<START:location> Yakymivka (48.92251, 36.48108) <END>
<START:location> La Valette (49.44889, -2.5325) <END>
<START:location> Mamayvtsi (48.34722, 25.8275) <END>
<START:location> Zikrantsi (49.66649, 32.86906) <END>
<START:location> Vysoke (46.91985, 33.09643) <END>
<START:location> Zahurshchyna (49.35746, 24.16163) <END>
<START:location> La Tourgie (49.43306, -2.58861) <END>
<START:location> Antopil (48.47116, 28.67978) <END>
<START:location> Morozivka (48.11391, 34.8734) <END>
<START:location> Pyliava (49.60159, 27.45605) <END>
<START:location> Chunkiv (48.59251, 25.81858) <END>
<START:location> Kudriave (50.25332, 35.08768) <END>
<START:location> Urochishche Veresikha (51.79764, 25.32895) <END>
<START:location> Rosiiska Istynno-Pravoslavna Sviato-Mykhailivska Tserkva (46.46813, 30.71094) <END>
<START:location> Luhove (48.46918, 35.40642) <END>
<START:location> Velyka Medvedivka (49.89292, 26.9641) <END>
<START:location> Petrovo (48.11667, 35.2) <END>
<START:location> Annovka (48.00586, 32.40432) <END>
<START:location> Voronyntsi (50.02005, 32.70722) <END>
<START:location> Prymorsk Raion (46.73499, 36.34372) <END>
<START:location> Hnylytsia (49.92231, 37.03702) <END>
<START:location> Svichanivka (49.00614, 35.26352) <END>
<START:location> Bolokhivka (49.14441, 24.5026) <END>
<START:location> Yasinovyy (50.21278, 37.23944) <END>
<START:location> Chonhar Peninsula (46.0547, 34.53884) <END>
<START:location> Hora Aylanmakaya (45.09108, 34.68991) <END>
<START:location> Hamarnia (50.77585, 29.17324) <END>
<START:location> Zarechchia (50.14903, 30.42062) <END>
<START:location> Gora Velikaya Gorotan’ (48.36749, 22.9433) <END>
<START:location> Prokazy (50.05, 25.31667) <END>
<START:location> Tractir Bridge (historical) (44.55806, 33.64812) <END>
<START:location> Monastyr-Lishnianskyi (49.38348, 23.43119) <END>
<START:location> Khersonskyi Raion (46.65816, 32.81955) <END>
<START:location> Заліщики (48.65, 25.7333333) <END>
<START:location> Snovianka (51.56008, 31.56923) <END>
<START:location> Kirovskoye sel'skoye poselenye (45.22425, 35.20706) <END>
<START:location> Rabotishche (50.56667, 27.81667) <END>
<START:location> Polissia (51.96699, 31.72256) <END>
<START:location> Novooleksandrivka (50.15958, 37.24902) <END>
<START:location> Ol’shanka (49.70028, 36.29261) <END>
<START:location> Zapovidne Urochyshche Yaila Chatardah (44.78636, 34.29288) <END>
<START:location> Marivka (48.33814, 35.70688) <END>
<START:location> Zahirne (49.68333, 27.5) <END>
<START:location> Indyki (49.61667, 26.66667) <END>
<START:location> Trypillia (50.11802, 30.78141) <END>
<START:location> Zarichne (49.29488, 33.44144) <END>
<START:location> Novodonovka (50.05806, 36.81833) <END>
<START:location> Vodnyky (49.70283, 24.23419) <END>
<START:location> Boloto Galy (51.52177, 27.04828) <END>
<START:location> Stantsiia Zaitseve (48.4252, 35.68058) <END>
<START:location> Shliakhove (49.9562, 37.45701) <END>
<START:location> Tarasivka (48.56796, 33.47931) <END>
<START:location> Pravda (48.51886, 34.65729) <END>
<START:location> Stantsiya Granovo (48.47075, 34.13257) <END>
<START:location> Dolynske (47.68612, 34.82799) <END>
<START:location> Ripky (50.06143, 35.77111) <END>
<START:location> Urochyshche Velykyy Val (45.4436, 36.46628) <END>
<START:location> Oleksandra Hulkevycha Street (50.75491, 29.23788) <END>
<START:location> Fedorivka (48.64608, 37.09408) <END>
<START:location> Pryvilne (48.80085, 35.65562) <END>
<START:location> Hora Aiudah (44.56058, 34.32828) <END>
<START:location> Kutsivka (48.31397, 32.79142) <END>
<START:location> Shevchenkovo (48.36667, 35.8) <END>
<START:location> Unknown River (Vinnytsya) (49.20756, 28.44468) <END>
<START:location> Svitlohirske (48.88966, 34.07118) <END>
<START:location> Sylna (50.64338, 29.57193) <END>
<START:location> Stantsiya Budennovskiy (48.54556, 39.51639) <END>
<START:location> Holokhvasty (49.27776, 26.9643) <END>
<START:location> Bilosaraiska Kosa (46.87441, 37.31257) <END>
<START:location> Pykivs'ka Slobidka (49.45395, 28.16139) <END>
<START:location> Stepne (46.81344, 35.05623) <END>
<START:location> Vysoke (47.76287, 34.85267) <END>
<START:location> Stantsiya Burdino (47.98333, 38.08333) <END>
<START:location> Nove Zhyttia (49.77186, 32.49373) <END>
<START:location> Voronivshchyna (50.24458, 31.86026) <END>
<START:location> Ivakhny (49.10713, 29.84408) <END>
<START:location> Balabyne (47.73686, 35.21361) <END>
<START:location> Velyki Moshky (51.26457, 28.86836) <END>
<START:location> Kurgan Kara-Oba (44.78067, 33.64755) <END>
<START:location> Prutets (48.33333, 24.58333) <END>
<START:location> Turovets (50.17837, 28.93607) <END>
<START:location> Bidriahy (49.87796, 35.98326) <END>
<START:location> Zahorivka (51.49621, 32.27625) <END>
<START:location> Dubova (48.63576, 30.44761) <END>
<START:location> Levky (50.70651, 32.39975) <END>
<START:location> Padretseve (47.71721, 29.30303) <END>
<START:location> Novi Laheri (46.73332, 33.21363) <END>
<START:location> Novokyivka (46.33871, 33.31402) <END>
<START:location> Soshe-Ostrivske (47.19012, 29.75471) <END>
<START:location> Perechyn (48.73494, 22.47718) <END>
<START:location> Oleshnia (51.11658, 29.77441) <END>
<START:location> Bania Lysovytska (49.13128, 23.88332) <END>
<START:location> Drovnove (48.06474, 38.64956) <END>
<START:location> Tsybuleve (48.8138, 32.49243) <END>
<START:location> Nizhnezamorskoye (45.36894, 36.01149) <END>
<START:location> Vilkhovets (49.03626, 30.8877) <END>
<START:location> Yablunytsya (48.03187, 24.91721) <END>
<START:location> Holinka (50.52597, 33.22265) <END>
<START:location> Atan-Alchin (45.07068, 36.07547) <END>
<START:location> Чугуїв (49.8355556, 36.6863889) <END>
<START:location> Okhrimivka (46.50723, 35.28781) <END>
<START:location> Novomykolaivka (46.89002, 35.20971) <END>
<START:location> Tkhory (51.11667, 25.96667) <END>
<START:location> Bilany (51.01577, 34.3814) <END>
<START:location> Zelenivka (46.29792, 30.00461) <END>
<START:location> Sarnivka (50.74909, 24.9632) <END>
<START:location> Alach (45.17156, 34.85618) <END>
<START:location> Kamianka (51.17226, 30.24436) <END>
<START:location> Serpneve (49.69936, 35.47249) <END>
<START:location> Nemylnia (50.44942, 27.76882) <END>
<START:location> Topolyne (47.53258, 33.55727) <END>
<START:location> Ukrainka (47.60771, 33.62641) <END>
<START:location> Hutnytske (50.82283, 34.37152) <END>
<START:location> Shatry (45.79239, 33.99913) <END>
<START:location> Velykyi Buialyk (46.93891, 30.65189) <END>
<START:location> Pereval’skiy Rayon (48.5, 38.83333) <END>
<START:location> Sulymy (50.0476, 34.19173) <END>
<START:location> Vul’ka Kotovska (50.83333, 25.73333) <END>
<START:location> Stavyske (50.97842, 31.23194) <END>
<START:location> Melitopol (46.88083, 35.3025) <END>
<START:location> Hora Kukul (48.21541, 24.54647) <END>
<START:location> Yalanka (48.23121, 28.48175) <END>
<START:location> Dubyna (49.85155, 27.16809) <END>
<START:location> Omylne (50.15915, 27.84499) <END>
<START:location> Shchurivtsi (50.03795, 26.7936) <END>
<START:location> Stantsiia Rava-Ruska (50.23112, 23.63766) <END>
<START:location> Tiushah (48.00659, 23.96024) <END>
<START:location> Nadarivka (48.45417, 38.45076) <END>
<START:location> Nelipivka (48.45063, 37.78839) <END>
<START:location> Zaozyornoye (45.15816, 33.27866) <END>
<START:location> Holma (47.92886, 29.84923) <END>
<START:location> Skosohorivka (50.0483, 35.65003) <END>
<START:location> Kalyshenkove (51.40339, 33.17099) <END>
<START:location> Sadove (47.33606, 35.34621) <END>
<START:location> Polohy-Yanenky (49.95554, 31.7286) <END>
<START:location> Sakhny (49.32409, 27.80061) <END>
<START:location> Hnylop'yat' (50.22571, 28.58668) <END>
<START:location> Pohonivka (48.8261, 37.05863) <END>
<START:location> Novopetrivka (47.06389, 34.4168) <END>
<START:location> Turanivka (51.84195, 33.77238) <END>
<START:location> Kyoto street (50.46537, 30.64058) <END>
<START:location> Pereval (47.51667, 34.38333) <END>
<START:location> Kamyanets-Podilskyy Raion (48.67337, 26.57177) <END>
<START:location> Mykhailenkove (50.27099, 34.81695) <END>
<START:location> Zhyhailivka (50.63333, 35.10977) <END>
<START:location> Netechyntsi (49.07349, 27.33059) <END>
<START:location> La Vieille de Portinfer (49.49278, -2.5825) <END>
<START:location> Buimerivka (50.2806, 34.80749) <END>
<START:location> Pryvilne (48.20956, 34.72) <END>
<START:location> Novotroitske (47.71718, 37.59237) <END>
<START:location> Oleksandrivka (47.73373, 33.53198) <END>
<START:location> Berezovka (45.57471, 33.34397) <END>
<START:location> Kiroff Hotel (49.98351, 36.25686) <END>
<START:location> Bazar (48.94809, 25.5784) <END>
<START:location> Platforma 172 Km (47.84994, 35.09631) <END>
<START:location> Pervomays’ka Mis’krada (48.04085, 30.8553) <END>
<START:location> Pozhnia (50.50887, 35.33509) <END>
<START:location> Orlikoyarskiy (49.30891, 36.68585) <END>
<START:location> Potush (49.02291, 28.65068) <END>
<START:location> Vysypovtsy (49.66608, 25.41721) <END>
<START:location> Novoye Solntsevo (47.55, 38.08333) <END>
<START:location> Volodymyrivka (49.53426, 30.40875) <END>
<START:location> Pustovity (49.67517, 30.87538) <END>
<START:location> Hlukhivs’ka Mis’krada (51.67426, 33.89755) <END>
<START:location> Alexandria (50.45462, 30.43733) <END>
<START:location> Bear Pear (48.32044, 24.77959) <END>
<START:location> Richytsia (51.76323, 24.67168) <END>
<START:location> Zhavoronki (45.06635, 33.75634) <END>
<START:location> Volodymyro-Pavlivka (47.65243, 32.34273) <END>
<START:location> Sofiivka (46.83437, 33.63683) <END>
<START:location> Zirka (50.4784, 33.40568) <END>
<START:location> Schmidt Harbor Channel (47.09212, 37.57098) <END>
<START:location> Le Vaugrat (49.49056, -2.56111) <END>
<START:location> Shegyni (49.79994, 22.97431) <END>
<START:location> Dmitrenkov (50.03333, 35.23333) <END>
<START:location> Khyzhniakove (50.31197, 37.46027) <END>
<START:location> Sloboda (51.52254, 28.58857) <END>
<START:location> Panteleimonivka (48.29911, 37.77162) <END>
<START:location> Bilenke (48.35605, 39.89654) <END>
<START:location> Chervone (47.83211, 37.78525) <END>
<START:location> Fominovka (48.12917, 39.42472) <END>
<START:location> Tarnava (48.95717, 29.68473) <END>
<START:location> Lutańska Holica (48.84645, 22.7617) <END>
<START:location> Dolzhok (50.24694, 37.39944) <END>
<START:location> Ustymivka (49.96375, 30.01731) <END>
<START:location> Lytvyny (49.00744, 34.2973) <END>
<START:location> Zazdrist (49.35064, 25.51489) <END>
<START:location> Verkhnia Vyznytsia (48.5447, 22.74527) <END>
<START:location> Kukushkinskoye sel'skoye poselenye (45.71924, 33.38951) <END>
<START:location> Gora Chyrny (48.16667, 24.58333) <END>
<START:location> Krasnogvardeyskoye sel'skoye poselenye (45.50842, 34.30584) <END>
<START:location> Les Nicolles (49.43056, -2.58139) <END>
<START:location> Mare de Carteret (49.48139, -2.58111) <END>
<START:location> Pryshyb (48.73514, 38.93333) <END>
<START:location> Blahodatne (47.79812, 36.8139) <END>
<START:location> Slobidske (50.0184, 36.44825) <END>
<START:location> Stantsiia Rozzhyvivka (49.38006, 35.55407) <END>
<START:location> Kalantaivka (46.72077, 30.28282) <END>
<START:location> Dokuchaevsk City Council (47.75418, 37.67845) <END>
<START:location> Iosafatova Dolina (44.73333, 33.91667) <END>
<START:location> Novovasylivka (48.20497, 37.04212) <END>
<START:location> Oleksandriya Raion (48.6662, 33.11219) <END>
<START:location> Beshevli-Ilyak (45.36667, 33.95) <END>
<START:location> Fort Le Crocq (49.46639, -2.62694) <END>
<START:location> Berdianka (49.10209, 35.45444) <END>
<START:location> Bohdanivka (47.48499, 38.04937) <END>
<START:location> Stantsiia Chorovychi (50.87392, 28.93806) <END>
<START:location> Petrivka (47.74255, 30.11303) <END>
<START:location> Donetsk International Airport (48.07361, 37.73972) <END>
<START:location> Belyayevka (47.85096, 36.34191) <END>
<START:location> Olenivka (46.94573, 35.57378) <END>
<START:location> Smolyne (51.8713, 34.14621) <END>
<START:location> Kamyanka (47.97702, 36.53663) <END>
<START:location> Pitushkiv (50.64949, 25.79154) <END>
<START:location> Urochishche Kanadskoye (47.25886, 35.46598) <END>
<START:location> Koliinyi Post Dibrovka (47.87058, 29.43154) <END>
<START:location> Berezove (47.76711, 37.58226) <END>
<START:location> Novaya Petrovka (49.65389, 37.23889) <END>
<START:location> Vitsentovka (49.25, 29.1) <END>
<START:location> Roiove (48.93296, 33.58933) <END>
<START:location> Bykov (49.76696, 22.93739) <END>
<START:location> Sovkhoz Vol’nyy (46.65, 36.23333) <END>
<START:location> Ahativka (49.98586, 28.60381) <END>
<START:location> Ivanovka (50.66667, 27.68333) <END>
<START:location> Blazhove (51.42941, 27.34496) <END>
<START:location> Rusko-Orlivka (47.95285, 38.37703) <END>
<START:location> Hurivtsi (49.80085, 28.77511) <END>
<START:location> Chapayevo (49.74256, 34.98442) <END>
<START:location> Mykhailivka (47.99887, 33.89947) <END>
<START:location> Zhavynka (51.44363, 31.24936) <END>
<START:location> Ivashchenky (49.91803, 33.28576) <END>
<START:location> Natalovka (51.11056, 34.945) <END>
<START:location> Yarushychi (49.24195, 23.94984) <END>
<START:location> Belikov (49.45306, 36.43444) <END>
<START:location> Ternivska Miskrada (48.5237, 36.08034) <END>
<START:location> Prystin (49.59287, 37.63543) <END>
<START:location> Orativ (49.18594, 29.52889) <END>
<START:location> Velyke Verbche (51.21177, 26.25445) <END>
<START:location> Khram Svyatoy Muchenitsy Tsaritsy Aleksandry (46.48443, 30.71811) <END>
<START:location> Gora Zhlobki (48.5711, 23.11864) <END>
<START:location> Sofiyivka (47.55758, 30.67479) <END>
<START:location> Voznychi (51.5126, 28.38229) <END>
<START:location> Domakha (48.49234, 35.76332) <END>
<START:location> Vladimirovka (48.26583, 38.86167) <END>
<START:location> Dashkivtsi (49.03204, 27.35602) <END>
<START:location> Chumaky (47.95575, 34.61922) <END>
<START:location> Yehorivka (51.51114, 32.91976) <END>
<START:location> Sakhanske (50.58388, 33.62739) <END>
<START:location> Horikhova Balka (48.33461, 39.58606) <END>
<START:location> Khram Svyatogo Velikomuchenika Georgiya Pobedonostsa (46.37465, 30.72271) <END>
<START:location> Storozhynets (48.15938, 25.72144) <END>
<START:location> Ovsiuky (50.01842, 32.49191) <END>
<START:location> Kuzmynivka (48.79563, 38.06909) <END>
<START:location> Guta (48.63333, 24.71667) <END>
<START:location> Ulu-Uzen (44.66951, 34.41407) <END>
<START:location> Voievodske (49.94233, 38.5395) <END>
<START:location> Aq Mečit (45.11327, 34.14259) <END>
<START:location> Hersevanivske (48.90736, 36.38196) <END>
<START:location> Talalaivska Terhromada (50.83193, 33.02976) <END>
<START:location> Nadlak (48.73407, 31.13403) <END>
<START:location> Molochnyy (49.01556, 36.94222) <END>
<START:location> Shrubkiv (49.4889, 27.42462) <END>
<START:location> Paryduby (51.24148, 24.41388) <END>
<START:location> Kalynove (48.06697, 38.02085) <END>
<START:location> Petrivka (48.41202, 36.31482) <END>
<START:location> Luhova Street (50.7605, 29.25411) <END>
<START:location> Opanasiv (50.76707, 31.09173) <END>
<START:location> Velyka Oleksandrivka (50.39316, 30.87808) <END>
<START:location> Studyni (50.88579, 24.85494) <END>
<START:location> Holy Intercession Temple of Ukrainian Orthodox Church (Moscow Patriachate) (49.50861, 27.23693) <END>
<START:location> Honoratka (49.14949, 29.52156) <END>
<START:location> Hannusyne (50.13149, 27.39115) <END>
<START:location> Andrushi (50.01667, 31.4) <END>
<START:location> Zakaznyk Yulivska Hora (48.0325, 23.09331) <END>
<START:location> Bilka (50.93997, 26.74859) <END>
<START:location> Hlody (49.72313, 34.60817) <END>
<START:location> Vanzhuly (49.33333, 28.41667) <END>
<START:location> Germanovka (49.5, 28.83333) <END>
<START:location> Lukiantsi (50.24665, 36.50668) <END>
<START:location> Sazhky (48.956, 28.91298) <END>
<START:location> Khvalky (49.80577, 33.90329) <END>
<START:location> Zarichka (51.16983, 28.13657) <END>
<START:location> Stanislavivka (50.17952, 28.15521) <END>
<START:location> Zarichne (47.85472, 36.18285) <END>
<START:location> Buzhyn (49.20459, 32.67677) <END>
<START:location> Mykolayivka (47.37058, 31.26123) <END>
<START:location> Pryozerne (50.61907, 32.12232) <END>
<START:location> Mala Tokarivka (50.21667, 27.66667) <END>
<START:location> Kamianka (51.91908, 30.83293) <END>
<START:location> Holubne (51.791, 25.95675) <END>
<START:location> Stanislavchyk (49.09819, 31.55152) <END>
<START:location> Sukhovolya (50.0021, 26.38642) <END>
<START:location> Rivnopil (47.78686, 36.69844) <END>
<START:location> Sadky (50.70918, 29.47562) <END>
<START:location> Kyiv-Tovarnyi (50.43175, 30.50378) <END>
<START:location> Le Clos des Camps (49.43944, -2.36139) <END>
<START:location> Hrabovets (49.44618, 25.74151) <END>
<START:location> Vodiana (48.68125, 36.91533) <END>
<START:location> Verkhnia Slobidka (48.18297, 28.58752) <END>
<START:location> Voronkivka (50.65486, 30.21919) <END>
<START:location> Zaporozhe (47.51667, 35.56667) <END>
<START:location> Nove Pole (47.87372, 36.10453) <END>
<START:location> Novokatoshchyne (47.84552, 34.88924) <END>
<START:location> Nichohivka (51.11274, 25.88845) <END>
<START:location> Chervona Poliana (48.10455, 28.90356) <END>
<START:location> Vasiutyntsi (49.14292, 27.77986) <END>
<START:location> Contractova Plosha (50.46519, 30.51635) <END>
<START:location> Dniprovske (48.20956, 35.60875) <END>
<START:location> Baluchyn (49.85467, 24.56149) <END>
<START:location> Lozova Druha (49.86232, 37.54942) <END>
<START:location> Osmaky (51.45041, 32.06939) <END>
<START:location> Kurhan Mohyla Brylova (47.43798, 33.34077) <END>
<START:location> Voroshilovka (48.855, 38.23417) <END>
<START:location> Stakhuvka (51.46667, 26.26667) <END>
<START:location> Sukhovolia (50.55939, 25.30684) <END>
<START:location> Susk (50.95614, 25.42951) <END>
<START:location> Dubrovitsa (51.18333, 29.81667) <END>
<START:location> Tarasovka (49.16667, 27.8) <END>
<START:location> Zavhorodnie (49.19161, 36.91582) <END>
<START:location> Fort Catherine (44.62438, 33.53744) <END>
<START:location> Kovalivka (48.28072, 34.06617) <END>
<START:location> Travneve (48.42442, 38.09784) <END>
<START:location> Zavorsklo (49.45512, 34.63197) <END>
<START:location> Svydnytsya (49.99329, 23.19638) <END>
<START:location> Sopky (48.53378, 23.45296) <END>
<START:location> Velyka Korenykha (46.94262, 31.90014) <END>
<START:location> Berestove (49.85778, 37.94472) <END>
<START:location> Kalininskoye sel'skoye poselenye (45.59242, 34.22327) <END>
<START:location> Prydniprovs’ka Vysochyna (49, 32) <END>
<START:location> Yurkivtsi (49.02846, 26.34336) <END>
<START:location> Ozero Safian (45.38024, 28.90493) <END>
<START:location> Bronnyky (50.70585, 26.08987) <END>
<START:location> Yurkino (45.4253, 36.56339) <END>
<START:location> Sosnivka (50.05266, 28.45454) <END>
<START:location> Hlukhiv Pershyi (50.53719, 29.16617) <END>
<START:location> Dubovka (47.46667, 37.9) <END>
<START:location> Ostrivka (46.71933, 31.71107) <END>
<START:location> Dovhove (47.37922, 33.36537) <END>
<START:location> Nova Dmytrivka (48.96177, 37.15445) <END>
<START:location> Voznesenske (49.75565, 32.15707) <END>
<START:location> Житомир <END>
<START:location> Khrystyianska Tserkva Povnoho Yevanheliia Slovo Zhyttia (46.46912, 30.71906) <END>
<START:location> Shmakove (47.96091, 33.40581) <END>
<START:location> Krasnoarmeyskoye (45.55077, 33.50061) <END>
<START:location> Novoselishche (49.7907, 25.08026) <END>
<START:location> Zamiry (50.69806, 28.92549) <END>
<START:location> Zolotarevka (51.16278, 34.80667) <END>
<START:location> Germanovka (49.15, 26.2) <END>
<START:location> Viknyne (50.17558, 35.91485) <END>
<START:location> Zinkiv (50.20987, 34.35952) <END>
<START:location> Kosiv Verkh (48.44318, 23.61448) <END>
<START:location> Petrivka (46.90325, 36.06978) <END>
<START:location> Hannivka (47.90793, 37.26079) <END>
<START:location> Ivanivka (48.85, 27.21667) <END>
<START:location> Urochishche Shelekhovo (50.28668, 36.34362) <END>
<START:location> Furmanivka (48.36345, 31.36552) <END>
<START:location> Trudovyk (51.7573, 32.30974) <END>
<START:location> Zaporizhzhya (46.45512, 34.86588) <END>
<START:location> Stobykhva (51.39366, 25.2008) <END>
<START:location> Zaliznychne (45.76651, 28.61814) <END>
<START:location> Borshava (48.63933, 23.24679) <END>
<START:location> Chervone (49.17644, 34.33957) <END>
<START:location> Rutchenkove (47.9716, 37.68309) <END>
<START:location> Yenkivtsi (50.1135, 32.88024) <END>
<START:location> Korobchyne (50.96225, 31.70765) <END>
<START:location> Drabivtsi (49.78039, 32.03432) <END>
<START:location> Frankivskyi rayon (49.81906, 24.00423) <END>
<START:location> Vostochnyy (47.43333, 36.81667) <END>
<START:location> Velykyi Trostianets (49.49764, 34.53738) <END>
<START:location> Dudivka (49.0661, 35.51168) <END>
<START:location> Vorona (48.76457, 24.8028) <END>
<START:location> Kovylne (48.27666, 38.92168) <END>
<START:location> Verpa (51.3772, 28.39032) <END>
<START:location> Sovnarkomovskaya Station (49.95321, 35.85105) <END>
<START:location> Snihy (50.33412, 35.99964) <END>
